onset	duration	nback_display	trial_type	response	response_time	correct_response	correct	stim_file
0	1	1	0	1	0.501	1	1	1_0.gif
1	1	3	0	3	0.645	3	1	3_0.gif
2	1	1	0	1	0.637	1	1	1_0.gif
3	1	3	0	3	0.569	3	1	3_0.gif
4	1	1	0	1	0.508	1	1	1_0.gif
5	1	2	0	2	0.63	2	1	2_0.gif
6	1	4	0	4	0.586	4	1	4_0.gif
7	1	2	0	2	0.704	2	1	2_0.gif
8	1	3	0	3	0.68	3	1	3_0.gif
9	1	2	0	2	0.677	2	1	2_0.gif
10	1	3	0	3	0.614	3	1	3_0.gif
11	1	4	0	4	0.606	4	1	4_0.gif
12	1	3	0	3	0.615	3	1	3_0.gif
13	1	4	0	4	0.616	4	1	4_0.gif
14	1	3	0	3	0.543	3	1	3_0.gif
15	1	2	0	2	0.6	2	1	2_0.gif
16	1	4	2	6	0	3	n/a	4_2.gif
17	1	1	2	6	0	2	n/a	1_2.gif
18	1	3	2	4	0.221	4	1	3_2.gif
19	1	4	2	1	0.275	1	1	4_2.gif
20	1	2	2	3	0.456	3	1	2_2.gif
21	1	3	2	4	0.42	4	1	3_2.gif
22	1	2	2	2	0.51	2	1	2_2.gif
23	1	3	2	3	0.61	3	1	3_2.gif
24	1	4	2	2	0.715	2	1	4_2.gif
25	1	1	2	3	0.728	3	1	1_2.gif
26	1	2	2	4	0.474	4	1	2_2.gif
27	1	4	2	1	0.473	1	1	4_2.gif
28	1	2	2	2	0.538	2	1	2_2.gif
29	1	3	2	4	0.491	4	1	3_2.gif
30	1	4	2	2	0.522	2	1	4_2.gif
31	1	2	2	3	0.477	3	1	2_2.gif
32	1	4	0	4	0.496	4	1	4_0.gif
33	1	3	0	2	0.502	3	0	3_0.gif
34	1	2	0	4	0.107	2	0	2_0.gif
35	1	1	0	2	0.183	1	0	1_0.gif
36	1	2	0	1	0.003	2	0	2_0.gif
37	1	1	0	1	0.4	1	1	1_0.gif
38	1	2	0	2	0.393	2	1	2_0.gif
