onset	duration	nback_display	trial_type	response	response_time	correct_response	correct	stim_file
0	1	1	0	1	0.69	1	1	1_0.gif
1	1	2	0	1	0.005	2	0	2_0.gif
2	1	1	0	1	0.58	1	1	1_0.gif
3	1	2	0	2	0.38	2	1	2_0.gif
4	1	1	0	1	0.465	1	1	1_0.gif
5	1	2	0	2	0.335	2	1	2_0.gif
6	1	4	0	4	0.408	4	1	4_0.gif
7	1	1	0	1	0.453	1	1	1_0.gif
8	1	2	0	2	0.345	2	1	2_0.gif
9	1	4	0	4	0.404	4	1	4_0.gif
10	1	2	0	2	0.335	2	1	2_0.gif
11	1	3	0	3	0.429	3	1	3_0.gif
12	1	4	0	4	0.297	4	1	4_0.gif
13	1	3	0	3	0.424	3	1	3_0.gif
14	1	4	0	4	0.36	4	1	4_0.gif
15	1	3	0	3	0.402	3	1	3_0.gif
16	1	2	2	2	0.396	4	0	2_2.gif
17	1	4	2	6	0	3	n/a	4_2.gif
18	1	3	2	6	0	2	n/a	3_2.gif
19	1	1	2	2	0.262	4	0	1_2.gif
20	1	2	2	6	0	3	n/a	2_2.gif
21	1	4	2	3	0.662	1	0	4_2.gif
22	1	2	2	3	0.007	2	0	2_2.gif
23	1	3	2	6	0	4	n/a	3_2.gif
24	1	2	2	2	0.013	2	1	2_2.gif
25	1	3	2	6	0	3	n/a	3_2.gif
26	1	4	2	3	0.656	2	0	4_2.gif
27	1	1	2	3	0.007	3	1	1_2.gif
28	1	2	2	6	0	4	n/a	2_2.gif
29	1	3	2	1	0.594	1	1	3_2.gif
30	1	4	2	1	0.009	2	0	4_2.gif
31	1	3	2	6	0	3	n/a	3_2.gif
32	1	2	0	4	0.386	2	0	2_0.gif
33	1	3	0	2	0.026	3	0	3_0.gif
34	1	4	0	4	0.503	4	1	4_0.gif
35	1	2	0	2	0.361	2	1	2_0.gif
36	1	3	0	3	0.416	3	1	3_0.gif
37	1	1	0	1	0.403	1	1	1_0.gif
38	1	2	0	2	0.387	2	1	2_0.gif
