onset	duration	nback_display	trial_type	response	response_time	correct_response	correct	stim_file
0.002	1	1	0	1	0.707	1	1	1_0.gif
1.002	1	2	0	1	0.013	2	0	2_0.gif
2.002	1	1	0	1	0.674	1	1	1_0.gif
3.002	1	4	0	4	0.661	4	1	4_0.gif
4.002	1	1	0	1	0.654	1	1	1_0.gif
5.002	1	2	0	2	0.584	2	1	2_0.gif
6.002	1	1	0	1	0.598	1	1	1_0.gif
7.002	1	2	0	2	0.519	2	1	2_0.gif
8.002	1	1	0	1	0.491	1	1	1_0.gif
9.004	1	3	0	3	0.522	3	1	3_0.gif
10.004	1	1	0	1	0.487	1	1	1_0.gif
11.004	1	4	0	4	0.602	4	1	4_0.gif
12.004	1	2	0	2	0.552	2	1	2_0.gif
13.004	1	1	0	1	0.506	1	1	1_0.gif
14.004	1	2	0	2	0.474	2	1	2_0.gif
15.004	1	3	0	3	0.429	3	1	3_0.gif
16.004	1	4	2	6	0	2	n/a	4_2.gif
17.004	1	3	2	6	0	3	n/a	3_2.gif
18.004	1	4	2	4	0.132	4	1	4_2.gif
19.004	1	1	2	3	0.154	3	1	1_2.gif
20.004	1	3	2	4	0.126	4	1	3_2.gif
21.004	1	4	2	1	0.129	1	1	4_2.gif
22.004	1	2	2	3	0.22	3	1	2_2.gif
23.004	1	3	2	4	0.158	4	1	3_2.gif
24.01	1	1	2	2	0.207	2	1	1_2.gif
25.01	1	2	2	3	0.106	3	1	2_2.gif
26.01	1	4	2	1	0.208	1	1	4_2.gif
27.01	1	3	2	2	0.178	2	1	3_2.gif
28.01	1	2	2	4	0.233	4	1	2_2.gif
29.01	1	4	2	3	0.249	3	1	4_2.gif
30.01	1	2	2	2	0.249	2	1	2_2.gif
31.01	1	1	2	4	0.131	4	1	1_2.gif
32.01	1	4	0	2	0.155	4	0	4_0.gif
33.01	1	1	0	4	0.347	1	0	1_0.gif
34.01	1	3	0	3	0.418	3	1	3_0.gif
35.01	1	4	0	4	0.494	4	1	4_0.gif
36.01	1	3	0	3	0.445	3	1	3_0.gif
37.015	1	2	0	2	0.46	2	1	2_0.gif
38.015	1	1	0	1	0.375	1	1	1_0.gif
39.015	1	4	0	4	0.416	4	1	4_0.gif
40.015	1	3	0	3	0.39	3	1	3_0.gif
41.015	1	1	0	1	0.383	1	1	1_0.gif
42.015	1	3	0	3	0.504	3	1	3_0.gif
43.015	1	1	0	1	0.415	1	1	1_0.gif
44.015	1	3	0	3	0.405	3	1	3_0.gif
45.015	1	4	0	4	0.402	4	1	4_0.gif
46.015	1	2	0	2	0.474	2	1	2_0.gif
47.015	1	1	0	1	0.46	1	1	1_0.gif
48.016	1	4	2	6	0	2	n/a	4_2.gif
49.016	1	2	2	6	0	1	n/a	2_2.gif
50.016	1	4	2	4	0.187	4	1	4_2.gif
51.016	1	2	2	2	0.206	2	1	2_2.gif
