onset	duration	nback_display	trial_type	response	response_time	correct_response	correct	stim_file
0	1	3	0	6	0	3	n/a	3_0.gif
1	1	2	0	3	0.166	2	0	2_0.gif
2	1	1	0	1	0.484	1	1	1_0.gif
3	1	2	0	2	0.841	2	1	2_0.gif
4	1	3	0	2	0.003	3	0	3_0.gif
5	1	4	0	4	0.963	4	1	4_0.gif
6	1	2	0	4	0.003	2	0	2_0.gif
7	1	3	0	2	0.003	3	0	3_0.gif
8	1	4	0	4	0.742	4	1	4_0.gif
9	1	2	0	2	0.467	2	1	2_0.gif
10	1	4	0	4	0.862	4	1	4_0.gif
11	1	1	0	4	0.003	1	0	1_0.gif
12	1	2	0	1	0.003	2	0	2_0.gif
13	1	1	0	6	0	1	n/a	1_0.gif
14	1	2	0	1	0.345	2	0	2_0.gif
15	1	1	0	6	0	1	n/a	1_0.gif
16	1	3	2	6	0	2	n/a	3_2.gif
17	1	2	2	6	0	1	n/a	2_2.gif
18	1	4	2	3	0.386	3	1	4_2.gif
19	1	3	2	2	0.003	2	1	3_2.gif
20	1	4	2	3	0.003	4	0	4_2.gif
21	1	1	2	4	0.138	3	0	1_2.gif
22	1	3	2	6	0	4	n/a	3_2.gif
23	1	2	2	3	0.725	1	0	2_2.gif
24	1	4	2	3	0.003	3	1	4_2.gif
25	1	2	2	2	0.223	2	1	2_2.gif
26	1	3	2	4	0.36	4	1	3_2.gif
27	1	1	2	2	0.003	2	1	1_2.gif
28	1	4	2	1	0.651	3	0	4_2.gif
29	1	3	2	4	0.679	1	0	3_2.gif
30	1	2	2	3	0.852	4	0	2_2.gif
31	1	3	2	3	0.003	3	1	3_2.gif
32	1	4	0	6	0	4	n/a	4_0.gif
33.001	1	2	0	2	0.667	2	1	2_0.gif
34.001	1	3	0	3	0.52	3	1	3_0.gif
35.001	1	1	0	1	0.559	1	1	1_0.gif
36.001	1	2	0	2	0.573	2	1	2_0.gif
37.001	1	1	0	1	0.736	1	1	1_0.gif
38.001	1	3	0	3	0.535	3	1	3_0.gif
39.001	1	4	0	6	0	4	n/a	4_0.gif
40.001	1	1	0	4	0.138	1	0	1_0.gif
41.001	1	2	0	2	0.664	2	1	2_0.gif
42.001	1	1	0	1	0.725	1	1	1_0.gif
43.001	1	4	0	4	0.727	4	1	4_0.gif
44.001	1	3	0	3	0.529	3	1	3_0.gif
45.001	1	2	0	2	0.428	2	1	2_0.gif
46.001	1	4	0	4	0.984	4	1	4_0.gif
47.001	1	1	0	4	0.003	1	0	1_0.gif
48.001	1	2	2	6	0	4	n/a	2_2.gif
49.001	1	3	2	6	0	1	n/a	3_2.gif
50.001	1	2	2	2	0.338	2	1	2_2.gif
51.001	1	1	2	3	0.003	3	1	1_2.gif
52.001	1	4	2	1	0.479	2	0	4_2.gif
53.001	1	1	2	4	0.284	1	0	1_2.gif
54.001	1	4	2	1	0.684	4	0	4_2.gif
55.001	1	2	2	4	0.432	1	0	2_2.gif
56.001	1	3	2	1	0.23	4	0	3_2.gif
57.001	1	2	2	2	0.151	2	1	2_2.gif
58.001	1	4	2	2	0.666	3	0	4_2.gif
59.001	1	2	2	4	0.234	2	0	2_2.gif
60.001	1	3	2	2	0.251	4	0	3_2.gif
61.001	1	2	2	3	0.049	2	0	2_2.gif
62.001	1	4	2	6	0	3	n/a	4_2.gif
63.001	1	2	2	4	0.1	2	0	2_2.gif
64.002	1	3	0	6	0	3	n/a	3_0.gif
65.002	1	1	0	3	0.449	1	0	1_0.gif
66.002	1	4	0	1	0.118	4	0	4_0.gif
67.002	1	1	0	4	0.03	1	0	1_0.gif
68.002	1	3	0	1	0.33	3	0	3_0.gif
