onset	duration	nback_display	trial_type	response	response_time	correct_response	correct	stim_file
0	1	1	0	1	0.841	1	1	1_0.gif
1	1	2	0	1	0.003	2	0	2_0.gif
2	1	4	0	2	0.003	4	0	4_0.gif
3	1	1	0	4	0.003	1	0	1_0.gif
4	1	2	0	2	0.331	2	1	2_0.gif
5	1	1	0	1	0.442	1	1	1_0.gif
6	1	4	0	4	0.541	4	1	4_0.gif
7	1	3	0	3	0.466	3	1	3_0.gif
8	1	1	0	1	0.447	1	1	1_0.gif
9	1	2	0	2	0.338	2	1	2_0.gif
10	1	3	0	3	0.407	3	1	3_0.gif
11	1	1	0	1	0.493	1	1	1_0.gif
12	1	3	0	3	0.488	3	1	3_0.gif
13	1	4	0	4	0.428	4	1	4_0.gif
14	1	3	0	3	0.402	3	1	3_0.gif
15	1	4	0	4	0.481	4	1	4_0.gif
16	1	2	2	2	0.489	3	0	2_2.gif
17	1	1	2	6	0	4	n/a	1_2.gif
18	1	2	2	6	0	2	n/a	2_2.gif
19	1	3	2	6	0	1	n/a	3_2.gif
20	1	4	2	2	0.229	2	1	4_2.gif
21	1	3	2	3	0.407	3	1	3_2.gif
22	1	4	2	4	0.404	4	1	4_2.gif
23	1	3	2	3	0.421	3	1	3_2.gif
24	1	2	2	4	0.392	4	1	2_2.gif
25	1	4	2	4	0.824	3	0	4_2.gif
26	1	2	2	3	0.332	2	0	2_2.gif
27	1	3	2	2	0.979	4	0	3_2.gif
28	1	1	2	2	0.003	2	1	1_2.gif
29	1	2	2	6	0	3	n/a	2_2.gif
30	1	4	2	1	0.214	1	1	4_2.gif
31	1	3	2	2	0.178	2	1	3_2.gif
32	1	2	0	4	0.433	2	0	2_0.gif
33	1	4	0	4	0.555	4	1	4_0.gif
34	1	2	0	2	0.29	2	1	2_0.gif
35	1	4	0	4	0.505	4	1	4_0.gif
36	1	1	0	1	0.551	1	1	1_0.gif
37	1	3	0	3	0.452	3	1	3_0.gif
38	1	4	0	4	0.327	4	1	4_0.gif
39	1	3	0	3	0.368	3	1	3_0.gif
40	1	2	0	2	0.461	2	1	2_0.gif
41	1	3	0	3	0.341	3	1	3_0.gif
42	1	4	0	4	0.357	4	1	4_0.gif
43	1	3	0	3	0.345	3	1	3_0.gif
44	1	1	0	1	0.389	1	1	1_0.gif
45	1	4	0	4	0.337	4	1	4_0.gif
46	1	1	0	1	0.37	1	1	1_0.gif
47	1	3	0	3	0.379	3	1	3_0.gif
48	1	4	2	4	0.332	1	0	4_2.gif
49	1	2	2	6	0	3	n/a	2_2.gif
50	1	1	2	4	0.3	4	1	1_2.gif
51	1	4	2	6	0	2	n/a	4_2.gif
52	1	2	2	6	0	1	n/a	2_2.gif
53	1	4	2	4	0.362	4	1	4_2.gif
54	1	1	2	2	0.361	2	1	1_2.gif
55	1	4	2	4	0.247	4	1	4_2.gif
56	1	2	2	1	0.278	1	1	2_2.gif
