onset	duration	nback_display	trial_type	response	response_time	correct_response	correct	stim_file
0	1	4	0	6	0	4	n/a	4_0.gif
1	1	1	0	4	0.038	1	0	1_0.gif
2	1	4	0	4	0.482	4	1	4_0.gif
3	1	3	0	6	0	3	n/a	3_0.gif
4	1	4	0	4	0.431	4	1	4_0.gif
5	1	1	0	1	0.42	1	1	1_0.gif
6	1	4	0	4	0.423	4	1	4_0.gif
7	1	1	0	1	0.413	1	1	1_0.gif
8	1	4	0	4	0.421	4	1	4_0.gif
9	1	1	0	1	0.38	1	1	1_0.gif
10	1	2	0	2	0.402	2	1	2_0.gif
11	1	3	0	6	0	3	n/a	3_0.gif
12	1	2	0	2	0.384	2	1	2_0.gif
13	1	3	0	3	0.385	3	1	3_0.gif
14	1	2	0	2	0.366	2	1	2_0.gif
15	1	3	0	3	0.399	3	1	3_0.gif
16	1	1	2	1	0.497	2	0	1_2.gif
17	1	4	2	6	0	3	n/a	4_2.gif
18	1	3	2	1	0.205	1	1	3_2.gif
19	1	1	2	4	0.067	4	1	1_2.gif
20	1	2	2	3	0.195	3	1	2_2.gif
21	1	4	2	1	0.495	1	1	4_2.gif
22	1	2	2	2	0.404	2	1	2_2.gif
23	1	3	2	4	0.346	4	1	3_2.gif
24	1	4	2	2	0.307	2	1	4_2.gif
25	1	3	2	3	0.314	3	1	3_2.gif
26	1	2	2	4	0.431	4	1	2_2.gif
27	1	3	2	3	0.343	3	1	3_2.gif
28	1	1	2	2	0.371	2	1	1_2.gif
29	1	3	2	3	0.283	3	1	3_2.gif
30	1	2	2	1	0.251	1	1	2_2.gif
31	1	1	2	3	0.234	3	1	1_2.gif
32	1	4	0	4	0.682	4	1	4_0.gif
33	1	1	0	1	0.454	1	1	1_0.gif
34	1	3	0	6	0	3	n/a	3_0.gif
35	1	1	0	1	0.479	1	1	1_0.gif
36	1	4	0	4	0.459	4	1	4_0.gif
37	1	3	0	3	0.563	3	1	3_0.gif
38	1	4	0	4	0.476	4	1	4_0.gif
39	1	2	0	2	0.415	2	1	2_0.gif
40	1	3	0	3	0.472	3	1	3_0.gif
41	1	2	0	2	0.42	2	1	2_0.gif
42	1	1	0	1	0.456	1	1	1_0.gif
43	1	4	0	4	0.382	4	1	4_0.gif
44	1	3	0	3	0.446	3	1	3_0.gif
45	1	2	0	2	0.365	2	1	2_0.gif
46	1	4	0	4	0.446	4	1	4_0.gif
47	1	2	0	2	0.436	2	1	2_0.gif
48	1	4	2	6	0	4	n/a	4_2.gif
49	1	2	2	6	0	2	n/a	2_2.gif
50	1	4	2	4	0.278	4	1	4_2.gif
51	1	1	2	2	0.308	2	1	1_2.gif
52	1	4	2	4	0.287	4	1	4_2.gif
53	1	3	2	1	0.382	1	1	3_2.gif
54.001	1	1	2	4	0.357	4	1	1_2.gif
55.001	1	3	2	3	0.496	3	1	3_2.gif
56.001	1	1	2	1	0.444	1	1	1_2.gif
57.001	1	3	2	3	0.498	3	1	3_2.gif
58.001	1	1	2	1	0.567	1	1	1_2.gif
59.001	1	4	2	3	0.713	3	1	4_2.gif
60.001	1	1	2	1	0.794	1	1	1_2.gif
61.001	1	4	2	1	0.003	4	0	4_2.gif
