onset	duration	nback_display	trial_type	response	response_time	correct_response	correct	stim_file
0	1	4	0	6	0	4	n/a	4_0.gif
1	1	3	0	4	0.127	3	0	3_0.gif
2	1	2	0	3	0.014	2	0	2_0.gif
3	1	4	0	4	0.547	4	1	4_0.gif
4	1	3	0	3	0.522	3	1	3_0.gif
5	1	4	0	3	0.415	4	0	4_0.gif
6	1	3	0	3	0.373	3	1	3_0.gif
7	1	2	0	2	0.59	2	1	2_0.gif
8	1	1	0	1	0.408	1	1	1_0.gif
9	1	3	0	3	0.52	3	1	3_0.gif
10	1	1	0	1	0.341	1	1	1_0.gif
11	1	2	0	2	0.497	2	1	2_0.gif
12	1	3	0	3	0.496	3	1	3_0.gif
13	1	1	0	1	0.46	1	1	1_0.gif
14	1	3	0	3	0.431	3	1	3_0.gif
15	1	2	0	2	0.562	2	1	2_0.gif
16	1	1	2	6	0	3	n/a	1_2.gif
17	1	3	2	6	0	2	n/a	3_2.gif
18	1	2	2	1	0.529	1	1	2_2.gif
19	1	4	2	3	0.736	3	1	4_2.gif
20	1	1	2	2	0.843	2	1	1_2.gif
21	1	3	2	2	0.014	4	0	3_2.gif
22	1	1	2	4	0.013	1	0	1_2.gif
23	1	4	2	3	0.095	3	1	4_2.gif
24	1	2	2	1	0.21	1	1	2_2.gif
25	1	3	2	4	0.349	4	1	3_2.gif
26	1	1	2	2	0.389	2	1	1_2.gif
27	1	3	2	3	0.345	3	1	3_2.gif
28	1	2	2	1	0.481	1	1	2_2.gif
29	1	1	2	3	0.675	3	1	1_2.gif
30	1	2	2	2	0.662	2	1	2_2.gif
31	1	3	2	1	0.698	1	1	3_2.gif
32.001	1	1	0	1	0.935	1	1	1_0.gif
33.001	1	2	0	1	0.014	2	0	2_0.gif
34.001	1	1	0	1	0.384	1	1	1_0.gif
35.001	1	3	0	3	0.465	3	1	3_0.gif
36.001	1	4	0	4	0.578	4	1	4_0.gif
37.001	1	1	0	1	0.486	1	1	1_0.gif
38.001	1	3	0	3	0.618	3	1	3_0.gif
39.001	1	1	0	1	0.6	1	1	1_0.gif
40.001	1	2	0	2	0.699	2	1	2_0.gif
41.001	1	3	0	3	0.501	3	1	3_0.gif
42.001	1	2	0	2	0.598	2	1	2_0.gif
43.001	1	4	0	4	0.651	4	1	4_0.gif
44.001	1	1	0	1	0.686	1	1	1_0.gif
45.001	1	4	0	4	0.493	4	1	4_0.gif
46.001	1	2	0	2	0.501	2	1	2_0.gif
47.001	1	3	0	3	0.602	3	1	3_0.gif
48.002	1	2	2	6	0	2	n/a	2_2.gif
49.002	1	1	2	6	0	3	n/a	1_2.gif
50.002	1	3	2	2	0.329	2	1	3_2.gif
51.002	1	4	2	1	0.531	1	1	4_2.gif
52.002	1	1	2	3	0.61	3	1	1_2.gif
53.002	1	3	2	4	0.697	4	1	3_2.gif
54.002	1	4	2	1	0.993	1	1	4_2.gif
55.002	1	1	2	1	0.014	3	0	1_2.gif
56.002	1	2	2	3	0.076	4	0	2_2.gif
57.002	1	3	2	4	0.168	1	0	3_2.gif
58.002	1	4	2	1	0.31	2	0	4_2.gif
59.002	1	3	2	2	0.457	3	0	3_2.gif
60.002	1	2	2	3	0.419	4	0	2_2.gif
61.002	1	4	2	4	0.617	3	0	4_2.gif
62.002	1	2	2	3	0.642	2	0	2_2.gif
63.002	1	1	2	2	0.883	4	0	1_2.gif
64.003	1	3	0	2	0.013	3	0	3_0.gif
65.003	1	2	0	3	0.013	2	0	2_0.gif
66.003	1	3	0	3	0.419	3	1	3_0.gif
67.003	1	4	0	4	0.528	4	1	4_0.gif
68.003	1	2	0	2	0.525	2	1	2_0.gif
69.003	1	3	0	3	0.427	3	1	3_0.gif
70.003	1	4	0	4	0.451	4	1	4_0.gif
71.003	1	2	0	2	0.449	2	1	2_0.gif
72.003	1	3	0	3	0.447	3	1	3_0.gif
73.003	1	2	0	2	0.646	2	1	2_0.gif
74.003	1	4	0	4	0.64	4	1	4_0.gif
