onset	duration	nback_display	trial_type	response	response_time	correct_response	correct	stim_file
0	1	1	0	1	0.629	1	1	1_0.gif
1	1	3	0	3	0.553	3	1	3_0.gif
2	1	1	0	1	0.406	1	1	1_0.gif
3	1	4	0	4	0.654	4	1	4_0.gif
4	1	1	0	1	0.319	1	1	1_0.gif
5	1	2	0	2	0.317	2	1	2_0.gif
6	1	1	0	1	0.484	1	1	1_0.gif
7	1	2	0	2	0.398	2	1	2_0.gif
8	1	3	0	3	0.489	3	1	3_0.gif
9	1	1	0	1	0.292	1	1	1_0.gif
10	1	2	0	2	0.276	2	1	2_0.gif
11	1	3	0	3	0.515	3	1	3_0.gif
12	1	4	0	4	0.601	4	1	4_0.gif
13	1	3	0	3	0.53	3	1	3_0.gif
14	1	4	0	4	0.55	4	1	4_0.gif
15	1	3	0	3	0.488	3	1	3_0.gif
16	1	4	2	6	0	4	n/a	4_2.gif
17	1	2	2	6	0	3	n/a	2_2.gif
18	1	1	2	4	0.247	4	1	1_2.gif
19	1	4	2	1	0.822	2	0	4_2.gif
20	1	2	2	1	0.008	1	1	2_2.gif
21	1	1	2	4	0.008	4	1	1_2.gif
22	1	3	2	2	0.008	2	1	3_2.gif
23	1	1	2	1	0.417	1	1	1_2.gif
24	1	2	2	6	0	3	n/a	2_2.gif
25	1	3	2	6	0	1	n/a	3_2.gif
26	1	1	2	2	0.287	2	1	1_2.gif
27	1	4	2	1	0.746	3	0	4_2.gif
28	1	1	2	6	0	1	n/a	1_2.gif
29	1	3	2	4	0.074	4	1	3_2.gif
30	1	4	2	3	0.748	1	0	4_2.gif
31	1	2	2	6	0	3	n/a	2_2.gif
32.001	1	3	0	6	0	3	n/a	3_0.gif
33.001	1	1	0	1	0.456	1	1	1_0.gif
34.001	1	2	0	2	0.385	2	1	2_0.gif
35.001	1	4	0	4	0.35	4	1	4_0.gif
36.001	1	3	0	3	0.347	3	1	3_0.gif
37.001	1	2	0	2	0.362	2	1	2_0.gif
38.001	1	1	0	1	0.318	1	1	1_0.gif
39.001	1	2	0	2	0.348	2	1	2_0.gif
40.001	1	1	0	1	0.339	1	1	1_0.gif
41.001	1	2	0	2	0.292	2	1	2_0.gif
42.001	1	1	0	1	0.269	1	1	1_0.gif
43.001	1	4	0	4	0.464	4	1	4_0.gif
44.001	1	1	0	1	0.469	1	1	1_0.gif
45.001	1	3	0	3	0.46	3	1	3_0.gif
46.001	1	4	0	4	0.429	4	1	4_0.gif
47.001	1	1	0	1	0.404	1	1	1_0.gif
48.001	1	2	2	2	0.371	4	0	2_2.gif
49.001	1	4	2	6	0	1	n/a	4_2.gif
50.001	1	3	2	2	0.191	2	1	3_2.gif
51.001	1	4	2	4	0.338	4	1	4_2.gif
52.001	1	2	2	3	0.541	3	1	2_2.gif
53.001	1	1	2	2	0.719	4	0	1_2.gif
54.001	1	2	2	1	0.726	2	0	2_2.gif
55.001	1	1	2	2	0.743	1	0	1_2.gif
56.001	1	2	2	1	0.97	2	0	2_2.gif
57.001	1	1	2	1	0.008	1	1	1_2.gif
58.001	1	2	2	6	0	2	n/a	2_2.gif
59.001	1	1	2	6	0	1	n/a	1_2.gif
60.001	1	4	2	6	0	2	n/a	4_2.gif
61.001	1	2	2	2	0.057	1	0	2_2.gif
62.001	1	4	2	6	0	4	n/a	4_2.gif
63.001	1	3	2	6	0	2	n/a	3_2.gif
