onset	duration	nback_display	trial_type	response	response_time	correct_response	correct	stim_file
0	1	2	0	6	0	2	n/a	2_0.gif
1	1	4	0	6	0	4	n/a	4_0.gif
2	1	2	0	3	0.12	2	0	2_0.gif
3	1	3	0	4	0.098	3	0	3_0.gif
4	1	1	0	3	0.009	1	0	1_0.gif
5	1	2	0	2	0.009	2	1	2_0.gif
6	1	3	0	4	0.009	3	0	3_0.gif
7	1	1	0	1	0.396	1	1	1_0.gif
8	1	3	0	3	0.516	3	1	3_0.gif
9	1	4	0	4	0.646	4	1	4_0.gif
10	1	1	0	2	0.79	1	0	1_0.gif
11	1	4	0	2	0.009	4	0	4_0.gif
12	1	1	0	3	0.074	1	0	1_0.gif
13	1	4	0	2	0.008	4	0	4_0.gif
14	1	2	0	3	0.818	2	0	2_0.gif
15	1	1	0	3	0.008	1	0	1_0.gif
16.001	1	3	2	2	0.008	2	1	3_2.gif
17.001	1	2	2	6	0	1	n/a	2_2.gif
18.001	1	1	2	6	0	3	n/a	1_2.gif
19.001	1	4	2	2	0.022	2	1	4_2.gif
20.001	1	3	2	3	0.576	1	0	3_2.gif
21.001	1	4	2	4	0.935	4	1	4_2.gif
22.001	1	1	2	4	0.009	3	0	1_2.gif
23.001	1	2	2	2	0.269	4	0	2_2.gif
24.001	1	3	2	6	0	1	n/a	3_2.gif
25.001	1	4	2	1	0.167	2	0	4_2.gif
26.001	1	1	2	6	0	3	n/a	1_2.gif
27.001	1	4	2	3	0.201	4	0	4_2.gif
28.001	1	3	2	2	0.612	1	0	3_2.gif
29.001	1	4	2	2	0.008	4	0	4_2.gif
30.001	1	1	2	2	0.009	3	0	1_2.gif
31.001	1	3	2	6	0	4	n/a	3_2.gif
32.001	1	4	0	2	0.418	4	0	4_0.gif
33.002	1	2	0	6	0	2	n/a	2_0.gif
34.002	1	3	0	6	0	3	n/a	3_0.gif
35.002	1	2	0	6	0	2	n/a	2_0.gif
36.002	1	1	0	4	0.341	1	0	1_0.gif
37.002	1	2	0	2	0.53	2	1	2_0.gif
38.002	1	4	0	4	0.008	4	1	4_0.gif
39.002	1	1	0	3	0.009	1	0	1_0.gif
40.002	1	4	0	2	0.012	4	0	4_0.gif
41.002	1	2	0	3	0.845	2	0	2_0.gif
42.002	1	3	0	3	0.008	3	1	3_0.gif
43.002	1	4	0	4	0.47	4	1	4_0.gif
44.002	1	1	0	2	0.641	1	0	1_0.gif
45.002	1	4	0	6	0	4	n/a	4_0.gif
46.002	1	3	0	6	0	3	n/a	3_0.gif
47.002	1	2	0	4	0.248	2	0	2_0.gif
48.002	1	1	2	6	0	3	n/a	1_2.gif
49.002	1	2	2	6	0	2	n/a	2_2.gif
50.002	1	3	2	2	0.284	1	0	3_2.gif
51.002	1	4	2	4	0.492	2	0	4_2.gif
52.002	1	2	2	6	0	3	n/a	2_2.gif
53.002	1	3	2	4	0.337	4	1	3_2.gif
54.002	1	2	2	6	0	2	n/a	2_2.gif
55.003	1	1	2	6	0	3	n/a	1_2.gif
56.003	1	3	2	2	0.318	2	1	3_2.gif
