onset	duration	nback_display	trial_type	response	response_time	correct_response	correct	stim_file
0	1	4	0	4	0.852	4	1	4_0.gif
1	1	1	0	4	0.013	1	0	1_0.gif
2	1	4	0	1	0.013	4	0	4_0.gif
3	1	2	0	2	0.412	2	1	2_0.gif
4	1	4	0	4	0.397	4	1	4_0.gif
5	1	1	0	1	0.408	1	1	1_0.gif
6	1	3	0	3	0.449	3	1	3_0.gif
7	1	1	0	1	0.42	1	1	1_0.gif
8	1	3	0	3	0.396	3	1	3_0.gif
9	1	2	0	2	0.43	2	1	2_0.gif
10	1	3	0	3	0.488	3	1	3_0.gif
11	1	2	0	2	0.414	2	1	2_0.gif
12	1	3	0	3	0.389	3	1	3_0.gif
13	1	2	0	2	0.297	2	1	2_0.gif
14	1	1	0	1	0.374	1	1	1_0.gif
15	1	3	0	3	0.389	3	1	3_0.gif
16	1	2	2	6	0	1	n/a	2_2.gif
17	1	4	2	6	0	3	n/a	4_2.gif
18	1	1	2	2	0.33	2	1	1_2.gif
19	1	3	2	4	0.253	4	1	3_2.gif
20	1	1	2	1	0.046	1	1	1_2.gif
21	1	2	2	3	0.016	3	1	2_2.gif
22	1	1	2	1	0.047	1	1	1_2.gif
23	1	2	2	2	0.014	2	1	2_2.gif
24	1	3	2	1	0.054	1	1	3_2.gif
25	1	4	2	2	0.014	2	1	4_2.gif
26	1	1	2	3	0.097	3	1	1_2.gif
27	1	2	2	4	0.133	4	1	2_2.gif
28	1	3	2	1	0.014	1	1	3_2.gif
29	1	2	2	2	0.014	2	1	2_2.gif
30	1	4	2	3	0.046	3	1	4_2.gif
31	1	1	2	2	0.051	2	1	1_2.gif
32.001	1	2	0	4	0.112	2	0	2_0.gif
33.001	1	1	0	2	0.015	1	0	1_0.gif
34.001	1	4	0	4	0.354	4	1	4_0.gif
35.001	1	1	0	1	0.38	1	1	1_0.gif
36.001	1	4	0	4	0.371	4	1	4_0.gif
37.001	1	3	0	3	0.41	3	1	3_0.gif
38.001	1	4	0	4	0.453	4	1	4_0.gif
39.001	1	2	0	2	0.374	2	1	2_0.gif
40.001	1	3	0	3	0.413	3	1	3_0.gif
41.001	1	1	0	1	0.421	1	1	1_0.gif
42.001	1	4	0	4	0.363	4	1	4_0.gif
43.001	1	2	0	2	0.346	2	1	2_0.gif
44.001	1	3	0	3	0.335	3	1	3_0.gif
45.001	1	2	0	2	0.397	2	1	2_0.gif
46.001	1	1	0	1	0.362	1	1	1_0.gif
47.001	1	4	0	4	0.304	4	1	4_0.gif
