onset	duration	nback_display	trial_type	response	response_time	correct_response	correct	stim_file
0	1	4	0	6	0	4	n/a	4_0.gif
1	1	3	0	4	0.545	3	0	3_0.gif
2	1	2	0	3	0.008	2	0	2_0.gif
3	1	4	0	4	0.5	4	1	4_0.gif
4	1	3	0	3	0.354	3	1	3_0.gif
5	1	2	0	2	0.567	2	1	2_0.gif
6	1	4	0	4	0.855	4	1	4_0.gif
7	1	3	0	4	0.008	3	0	3_0.gif
8	1	4	0	4	0.8	4	1	4_0.gif
9	1	1	0	4	0.008	1	0	1_0.gif
10	1	3	0	3	0.43	3	1	3_0.gif
11	1	1	0	3	0.008	1	0	1_0.gif
12	1	2	0	2	0.536	2	1	2_0.gif
13	1	3	0	3	0.741	3	1	3_0.gif
14	1	1	0	3	0.008	1	0	1_0.gif
15	1	3	0	3	0.407	3	1	3_0.gif
16	1	2	2	6	0	1	n/a	2_2.gif
17	1	1	2	6	0	3	n/a	1_2.gif
18	1	3	2	2	0.094	2	1	3_2.gif
19	1	2	2	1	0.681	1	1	2_2.gif
20	1	4	2	6	0	3	n/a	4_2.gif
21	1	1	2	6	0	2	n/a	1_2.gif
22	1	3	2	1	0.26	4	0	3_2.gif
23	1	1	2	6	0	1	n/a	1_2.gif
24	1	3	2	6	0	3	n/a	3_2.gif
25	1	2	2	1	0.352	1	1	2_2.gif
26	1	3	2	6	0	3	n/a	3_2.gif
27	1	1	2	6	0	2	n/a	1_2.gif
28.001	1	2	2	3	0.293	3	1	2_2.gif
29.001	1	3	2	6	0	1	n/a	3_2.gif
30.001	1	2	2	1	0.198	2	0	2_2.gif
31.001	1	4	2	6	0	3	n/a	4_2.gif
32.001	1	2	0	2	0.943	2	1	2_0.gif
33.001	1	3	0	2	0.009	3	0	3_0.gif
34.001	1	1	0	1	0.378	1	1	1_0.gif
35.001	1	2	0	2	0.786	2	1	2_0.gif
36.001	1	4	0	4	0.755	4	1	4_0.gif
37.001	1	3	0	3	0.626	3	1	3_0.gif
38.001	1	4	0	4	0.527	4	1	4_0.gif
39.001	1	3	0	3	0.581	3	1	3_0.gif
40.001	1	4	0	2	0.343	4	0	4_0.gif
41.001	1	3	0	3	0.994	3	1	3_0.gif
42.001	1	1	0	3	0.008	1	0	1_0.gif
43.001	1	2	0	2	0.344	2	1	2_0.gif
44.001	1	3	0	3	0.397	3	1	3_0.gif
45.001	1	2	0	2	0.508	2	1	2_0.gif
46.009	1	4	0	4	0.875	4	1	4_0.gif
47.009	1	2	0	4	0.031	2	0	2_0.gif
48.072	1	1	2	6	0	4	n/a	1_2.gif
49.103	1	3	2	6	0	2	n/a	3_2.gif
50.134	1	2	2	1	0.031	1	1	2_2.gif
51.165	1	1	2	1	0.625	3	0	1_2.gif
52.165	1	3	2	6	0	2	n/a	3_2.gif
53.196	1	4	2	6	0	1	n/a	4_2.gif
54.212	1	1	2	3	0.594	3	1	1_2.gif
55.212	1	3	2	6	0	4	n/a	3_2.gif
56.212	1	4	2	4	0.314	1	0	4_2.gif
57.212	1	1	2	6	0	3	n/a	1_2.gif
58.212	1	2	2	1	0.831	4	0	2_2.gif
59.212	1	3	2	1	0.009	1	1	3_2.gif
60.213	1	4	2	6	0	2	n/a	4_2.gif
61.213	1	3	2	3	0.088	3	1	3_2.gif
62.213	1	2	2	6	0	4	n/a	2_2.gif
63.213	1	4	2	3	0.544	3	1	4_2.gif
64.213	1	2	0	6	0	2	n/a	2_0.gif
65.213	1	1	0	2	0.147	1	0	1_0.gif
66.213	1	3	0	3	0.475	3	1	3_0.gif
67.213	1	4	0	4	0.874	4	1	4_0.gif
68.213	1	3	0	4	0.008	3	0	3_0.gif
69.213	1	1	0	1	0.687	1	1	1_0.gif
70.213	1	3	0	3	0.403	3	1	3_0.gif
71.213	1	4	0	4	0.602	4	1	4_0.gif
72.213	1	2	0	2	0.517	2	1	2_0.gif
73.213	1	3	0	3	0.467	3	1	3_0.gif
74.213	1	4	0	4	0.902	4	1	4_0.gif
75.213	1	2	0	4	0.009	2	0	2_0.gif
76.213	1	4	0	4	0.83	4	1	4_0.gif
77.213	1	3	0	4	0.009	3	0	3_0.gif
78.213	1	2	0	3	0.008	2	0	2_0.gif
79.213	1	1	0	2	0.009	1	0	1_0.gif
80.214	1	2	2	6	0	2	n/a	2_2.gif
81.214	1	4	2	2	0.953	1	0	4_2.gif
82.214	1	3	2	2	0.008	2	1	3_2.gif
83.214	1	2	2	4	0.281	4	1	2_2.gif
84.214	1	4	2	4	0.656	3	0	4_2.gif
85.214	1	2	2	2	0.688	2	1	2_2.gif
86.214	1	3	2	6	0	4	n/a	3_2.gif
87.214	1	2	2	6	0	2	n/a	2_2.gif
88.214	1	1	2	6	0	3	n/a	1_2.gif
89.214	1	4	2	6	0	2	n/a	4_2.gif
90.214	1	1	2	6	0	1	n/a	1_2.gif
91.214	1	2	2	6	0	4	n/a	2_2.gif
92.214	1	3	2	6	0	1	n/a	3_2.gif
93.214	1	4	2	6	0	2	n/a	4_2.gif
94.214	1	3	2	6	0	3	n/a	3_2.gif
95.214	1	4	2	3	0.692	4	0	4_2.gif
96.215	1	3	0	3	0.008	3	1	3_0.gif
97.215	1	1	0	3	0.008	1	0	1_0.gif
98.215	1	2	0	2	0.944	2	1	2_0.gif
99.215	1	3	0	2	0.008	3	0	3_0.gif
100.215	1	4	0	3	0.008	4	0	4_0.gif
101.215	1	3	0	4	0.008	3	0	3_0.gif
102.215	1	2	0	2	0.81	2	1	2_0.gif
103.215	1	1	0	2	0.008	1	0	1_0.gif
104.215	1	2	0	2	0.317	2	1	2_0.gif
105.215	1	1	0	1	0.627	1	1	1_0.gif
106.215	1	2	0	2	0.886	2	1	2_0.gif
107.215	1	4	0	2	0.008	4	0	4_0.gif
108.215	1	2	0	4	0.364	2	0	2_0.gif
109.215	1	1	0	2	0.608	1	0	1_0.gif
110.215	1	3	0	1	0.044	3	0	3_0.gif
