onset	duration	nback_display	trial_type	response	response_time	correct_response	correct	stim_file
0	1	3	0	3	0.949	3	1	3_0.gif
1	1	4	0	3	0.003	4	0	4_0.gif
2	1	3	0	3	0.867	3	1	3_0.gif
3	1	1	0	3	0.003	1	0	1_0.gif
4	1	3	0	1	0.003	3	0	3_0.gif
5	1	4	0	3	0.003	4	0	4_0.gif
6	1	2	0	6	0	2	n/a	2_0.gif
7	1	4	0	2	0.148	4	0	4_0.gif
8	1	1	0	4	0.171	1	0	1_0.gif
9	1	4	0	1	0.113	4	0	4_0.gif
10	1	1	0	1	0.806	1	1	1_0.gif
11	1	2	0	1	0.003	2	0	2_0.gif
12	1	1	0	2	0.003	1	0	1_0.gif
13	1	2	0	1	0.003	2	0	2_0.gif
14	1	1	0	2	0.003	1	0	1_0.gif
15	1	4	0	6	0	4	n/a	4_0.gif
16	1	2	2	6	0	1	n/a	2_2.gif
17	1	1	2	6	0	4	n/a	1_2.gif
18	1	3	2	2	0.55	2	1	3_2.gif
19	1	4	2	1	0.923	1	1	4_2.gif
20	1	2	2	1	0.003	3	0	2_2.gif
21	1	4	2	6	0	4	n/a	4_2.gif
22	1	1	2	2	0.533	2	1	1_2.gif
23	1	4	2	4	0.518	4	1	4_2.gif
24	1	1	2	1	0.639	1	1	1_2.gif
25	1	2	2	6	0	4	n/a	2_2.gif
26	1	3	2	6	0	1	n/a	3_2.gif
27	1	4	2	6	0	2	n/a	4_2.gif
28	1	2	2	3	0.227	3	1	2_2.gif
29	1	1	2	4	0.275	4	1	1_2.gif
30	1	4	2	2	0.235	2	1	4_2.gif
31	1	1	2	1	0.386	1	1	1_2.gif
32	1	2	0	4	0.304	2	0	2_0.gif
33	1	4	0	2	0.003	4	0	4_0.gif
34	1	1	0	1	0.721	1	1	1_0.gif
35	1	4	0	4	0.504	4	1	4_0.gif
36	1	3	0	3	0.623	3	1	3_0.gif
37	1	2	0	2	0.697	2	1	2_0.gif
38	1	4	0	4	0.674	4	1	4_0.gif
39	1	2	0	2	0.691	2	1	2_0.gif
40	1	4	0	4	0.845	4	1	4_0.gif
41	1	1	0	4	0.036	1	0	1_0.gif
42	1	2	0	1	0.003	2	0	2_0.gif
43	1	4	0	6	0	4	n/a	4_0.gif
44	1	1	0	1	0.623	1	1	1_0.gif
45	1	2	0	2	0.47	2	1	2_0.gif
46	1	1	0	1	0.641	1	1	1_0.gif
47	1	4	0	4	0.564	4	1	4_0.gif
48	1	3	2	6	0	1	n/a	3_2.gif
49	1	4	2	6	0	4	n/a	4_2.gif
50	1	3	2	3	0.24	3	1	3_2.gif
51	1	2	2	4	0.197	4	1	2_2.gif
52	1	1	2	3	0.404	3	1	1_2.gif
53	1	3	2	2	0.219	2	1	3_2.gif
54	1	4	2	1	0.42	1	1	4_2.gif
55	1	3	2	3	0.425	3	1	3_2.gif
56	1	2	2	4	0.341	4	1	2_2.gif
57	1	4	2	3	0.442	3	1	4_2.gif
58	1	1	2	6	0	2	n/a	1_2.gif
59	1	3	2	6	0	4	n/a	3_2.gif
60	1	4	2	1	0.22	1	1	4_2.gif
61	1	3	2	3	0.313	3	1	3_2.gif
62	1	1	2	6	0	4	n/a	1_2.gif
63	1	3	2	3	0.266	3	1	3_2.gif
64.001	1	2	0	2	0.918	2	1	2_0.gif
65.001	1	4	0	2	0.003	4	0	4_0.gif
66.001	1	1	0	1	0.682	1	1	1_0.gif
67.001	1	4	0	4	0.636	4	1	4_0.gif
68.001	1	2	0	2	0.5	2	1	2_0.gif
69.001	1	1	0	1	0.614	1	1	1_0.gif
70.001	1	4	0	6	0	4	n/a	4_0.gif
71.001	1	1	0	1	0.605	1	1	1_0.gif
72.001	1	4	0	6	0	4	n/a	4_0.gif
73.001	1	3	0	3	0.653	3	1	3_0.gif
74.001	1	1	0	1	0.628	1	1	1_0.gif
75.001	1	2	0	2	0.512	2	1	2_0.gif
76.001	1	1	0	1	0.5	1	1	1_0.gif
