onset	duration	nback_display	trial_type	response	response_time	correct_response	correct	stim_file
0	1	4	0	4	0.904	4	1	4_0.gif
1	1	3	0	4	0.003	3	0	3_0.gif
2	1	1	0	1	0.448	1	1	1_0.gif
3	1	4	0	4	0.493	4	1	4_0.gif
4	1	3	0	3	0.452	3	1	3_0.gif
5	1	4	0	4	0.519	4	1	4_0.gif
6	1	1	0	1	0.481	1	1	1_0.gif
7	1	4	0	4	0.423	4	1	4_0.gif
8	1	3	0	3	0.421	3	1	3_0.gif
9	1	2	0	2	0.496	2	1	2_0.gif
10	1	4	0	4	0.429	4	1	4_0.gif
11	1	1	0	1	0.46	1	1	1_0.gif
12	1	2	0	2	0.424	2	1	2_0.gif
13	1	3	0	3	0.386	3	1	3_0.gif
14	1	2	0	2	0.516	2	1	2_0.gif
15	1	3	0	3	0.491	3	1	3_0.gif
16	1	2	2	6	0	2	n/a	2_2.gif
17	1	3	2	6	0	3	n/a	3_2.gif
18	1	1	2	2	0.206	2	1	1_2.gif
19	1	4	2	3	0.226	3	1	4_2.gif
20	1	2	2	1	0.262	1	1	2_2.gif
21	1	3	2	4	0.284	4	1	3_2.gif
22	1	2	2	2	0.445	2	1	2_2.gif
23	1	1	2	6	0	3	n/a	1_2.gif
24	1	3	2	2	0.212	2	1	3_2.gif
25	1	4	2	1	0.182	1	1	4_2.gif
26	1	2	2	3	0.202	3	1	2_2.gif
27	1	1	2	4	0.263	4	1	1_2.gif
28	1	3	2	2	0.236	2	1	3_2.gif
29	1	4	2	1	0.216	1	1	4_2.gif
30	1	2	2	6	0	3	n/a	2_2.gif
31	1	4	2	6	0	4	n/a	4_2.gif
32	1	1	0	2	0.183	1	0	1_0.gif
33	1	3	0	3	0.432	3	1	3_0.gif
34	1	2	0	2	0.364	2	1	2_0.gif
35	1	1	0	1	0.588	1	1	1_0.gif
36	1	2	0	2	0.451	2	1	2_0.gif
37	1	1	0	1	0.527	1	1	1_0.gif
38	1	3	0	3	0.49	3	1	3_0.gif
39	1	4	0	4	0.496	4	1	4_0.gif
40	1	3	0	3	0.516	3	1	3_0.gif
