onset	duration	nback_display	trial_type	response	response_time	correct_response	correct	stim_file
0	1	2	0	6	0	2	n/a	2_0.gif
1	1	1	0	2	0.457	1	0	1_0.gif
2	1	2	0	1	0.009	2	0	2_0.gif
3	1	1	0	1	0.305	1	1	1_0.gif
4	1	2	0	2	0.235	2	1	2_0.gif
5	1	3	0	1	0.261	3	0	3_0.gif
6	1	1	0	3	0.008	1	0	1_0.gif
7	1	4	0	6	0	4	n/a	4_0.gif
8	1	3	0	3	0.458	3	1	3_0.gif
9	1	1	0	1	0.417	1	1	1_0.gif
10	1	3	0	6	0	3	n/a	3_0.gif
11	1	4	0	4	0.441	4	1	4_0.gif
12	1	1	0	1	0.345	1	1	1_0.gif
13	1	4	0	4	0.431	4	1	4_0.gif
14	1	1	0	1	0.41	1	1	1_0.gif
15	1	4	0	4	0.425	4	1	4_0.gif
16.001	1	1	2	1	0.49	1	1	1_2.gif
17.001	1	3	2	6	0	4	n/a	3_2.gif
18.001	1	1	2	1	0.286	1	1	1_2.gif
19.003	1	2	2	3	0.203	3	1	2_2.gif
20.003	1	1	2	1	0.107	1	1	1_2.gif
21.003	1	2	2	3	0.166	2	0	2_2.gif
22.003	1	3	2	1	0.008	1	1	3_2.gif
23.003	1	4	2	2	0.008	2	1	4_2.gif
24.003	1	1	2	1	0.009	3	0	1_2.gif
25.003	1	2	2	2	0.008	4	0	2_2.gif
26.003	1	3	2	1	0.008	1	1	3_2.gif
27.003	1	2	2	1	0.449	2	0	2_2.gif
28.003	1	1	2	4	0.008	3	0	1_2.gif
29.003	1	2	2	2	0.058	2	1	2_2.gif
30.003	1	4	2	1	0.458	1	1	4_2.gif
31.003	1	1	2	6	0	2	n/a	1_2.gif
32.004	1	3	0	1	0.1	3	0	3_0.gif
33.004	1	4	0	4	0.76	4	1	4_0.gif
34.004	1	1	0	1	0.342	1	1	1_0.gif
35.004	1	2	0	2	0.35	2	1	2_0.gif
36.004	1	4	0	4	0.699	4	1	4_0.gif
37.004	1	2	0	2	0.594	2	1	2_0.gif
38.004	1	3	0	6	0	3	n/a	3_0.gif
39.004	1	2	0	2	0.455	2	1	2_0.gif
40.004	1	1	0	1	0.323	1	1	1_0.gif
41.004	1	2	0	2	0.454	2	1	2_0.gif
42.004	1	4	0	4	0.521	4	1	4_0.gif
43.004	1	1	0	1	0.372	1	1	1_0.gif
44.004	1	3	0	6	0	3	n/a	3_0.gif
45.004	1	2	0	2	0.618	2	1	2_0.gif
46.004	1	3	0	6	0	3	n/a	3_0.gif
47.004	1	2	0	2	0.524	2	1	2_0.gif
48.005	1	4	2	6	0	3	n/a	4_2.gif
49.005	1	1	2	4	0.777	2	0	1_2.gif
50.005	1	4	2	4	0.009	4	1	4_2.gif
51.005	1	3	2	1	0.01	1	1	3_2.gif
52.005	1	2	2	6	0	4	n/a	2_2.gif
53.005	1	4	2	3	0.353	3	1	4_2.gif
54.005	1	2	2	6	0	2	n/a	2_2.gif
55.005	1	3	2	4	0.346	4	1	3_2.gif
56.005	1	4	2	2	0.129	2	1	4_2.gif
57.005	1	2	2	3	0.369	3	1	2_2.gif
58.005	1	3	2	2	0.058	4	0	3_2.gif
59.005	1	2	2	6	0	2	n/a	2_2.gif
60.005	1	1	2	3	0.835	3	1	1_2.gif
61.005	1	3	2	3	0.009	2	0	3_2.gif
62.005	1	4	2	1	0.255	1	1	4_2.gif
63.005	1	1	2	3	0.008	3	1	1_2.gif
64.006	1	4	0	4	0.628	4	1	4_0.gif
65.006	1	1	0	1	0.328	1	1	1_0.gif
66.006	1	2	0	2	0.264	2	1	2_0.gif
67.006	1	4	0	3	0.379	4	0	4_0.gif
68.006	1	2	0	4	0.009	2	0	2_0.gif
69.006	1	3	0	3	0.585	3	1	3_0.gif
70.006	1	1	0	1	0.566	1	1	1_0.gif
71.006	1	3	0	1	0.009	3	0	3_0.gif
72.006	1	1	0	1	0.746	1	1	1_0.gif
73.006	1	4	0	6	0	4	n/a	4_0.gif
74.006	1	2	0	2	0.717	2	1	2_0.gif
75.006	1	3	0	6	0	3	n/a	3_0.gif
76.006	1	1	0	1	0.43	1	1	1_0.gif
77.006	1	4	0	4	0.635	4	1	4_0.gif
78.006	1	3	0	6	0	3	n/a	3_0.gif
79.006	1	4	0	6	0	4	n/a	4_0.gif
80.006	1	2	2	2	0.572	3	0	2_2.gif
81.006	1	4	2	2	0.807	4	0	4_2.gif
82.006	1	1	2	2	0.009	2	1	1_2.gif
83.006	1	2	2	1	0.189	4	0	2_2.gif
84.006	1	4	2	6	0	1	n/a	4_2.gif
85.007	1	1	2	6	0	2	n/a	1_2.gif
86.007	1	2	2	4	0.232	4	1	2_2.gif
87.007	1	1	2	1	0.164	1	1	1_2.gif
88.007	1	3	2	1	0.343	2	0	3_2.gif
89.007	1	2	2	2	0.373	1	0	2_2.gif
90.007	1	3	2	2	0.041	3	0	3_2.gif
91.007	1	4	2	2	0.182	2	1	4_2.gif
92.007	1	2	2	3	0.205	3	1	2_2.gif
93.007	1	1	2	4	0.326	4	1	1_2.gif
94.007	1	2	2	2	0.273	2	1	2_2.gif
95.007	1	4	2	1	0.129	1	1	4_2.gif
96.008	1	3	0	2	0.016	3	0	3_0.gif
97.008	1	1	0	3	0.022	1	0	1_0.gif
98.008	1	3	0	1	0.008	3	0	3_0.gif
99.008	1	1	0	1	0.361	1	1	1_0.gif
100.008	1	3	0	3	0.458	3	1	3_0.gif
101.008	1	4	0	1	0.009	4	0	4_0.gif
102.008	1	2	0	4	0.01	2	0	2_0.gif
103.008	1	3	0	2	0.01	3	0	3_0.gif
104.008	1	2	0	3	0.008	2	0	2_0.gif
105.008	1	4	0	4	0.799	4	1	4_0.gif
106.008	1	1	0	4	0.009	1	0	1_0.gif
107.008	1	4	0	4	0.522	4	1	4_0.gif
108.008	1	1	0	1	0.354	1	1	1_0.gif
109.008	1	3	0	3	0.407	3	1	3_0.gif
110.008	1	1	0	1	0.47	1	1	1_0.gif
111.008	1	3	0	3	0.512	3	1	3_0.gif
112.009	1	4	2	4	0.461	1	0	4_2.gif
113.009	1	3	2	6	0	3	n/a	3_2.gif
114.009	1	1	2	4	0.296	4	1	1_2.gif
115.009	1	3	2	3	0.09	3	1	3_2.gif
116.009	1	1	2	1	0.077	1	1	1_2.gif
117.009	1	4	2	6	0	3	n/a	4_2.gif
118.009	1	1	2	1	0.02	1	1	1_2.gif
119.009	1	2	2	3	0.014	4	0	2_2.gif
120.009	1	3	2	4	0.009	1	0	3_2.gif
121.009	1	4	2	1	0.008	2	0	4_2.gif
122.009	1	1	2	3	0.208	3	1	1_2.gif
123.009	1	4	2	4	0.031	4	1	4_2.gif
124.009	1	3	2	1	0.008	1	1	3_2.gif
125.009	1	1	2	4	0.218	4	1	1_2.gif
126.009	1	3	2	1	0.009	3	0	3_2.gif
127.009	1	4	2	3	0.104	1	0	4_2.gif
128.01	1	2	0	1	0.009	2	0	2_0.gif
129.01	1	3	0	2	0.347	3	0	3_0.gif
130.01	1	2	0	3	0.24	2	0	2_0.gif
131.01	1	4	0	2	0.011	4	0	4_0.gif
132.01	1	3	0	4	0.008	3	0	3_0.gif
133.01	1	4	0	4	0.478	4	1	4_0.gif
