onset	duration	nback_display	trial_type	response	response_time	correct_response	correct	stim_file
0.001	1	3	0	3	0.589	3	1	3_0.gif
1.001	1	2	0	2	0.431	2	1	2_0.gif
2.001	1	3	0	3	0.308	3	1	3_0.gif
3.001	1	2	0	2	0.327	2	1	2_0.gif
4.001	1	3	0	3	0.312	3	1	3_0.gif
5.001	1	4	0	4	0.494	4	1	4_0.gif
6.003	1	3	0	3	0.339	3	1	3_0.gif
7.003	1	1	0	1	0.373	1	1	1_0.gif
8.003	1	3	0	3	0.344	3	1	3_0.gif
9.003	1	4	0	4	0.432	4	1	4_0.gif
10.003	1	1	0	1	0.398	1	1	1_0.gif
11.003	1	2	0	2	0.356	2	1	2_0.gif
12.003	1	1	0	1	0.375	1	1	1_0.gif
13.003	1	2	0	2	0.395	2	1	2_0.gif
14.003	1	1	0	1	0.325	1	1	1_0.gif
15.003	1	2	0	2	0.342	2	1	2_0.gif
16.004	1	4	2	6	0	1	n/a	4_2.gif
17.004	1	3	2	6	0	2	n/a	3_2.gif
18.005	1	2	2	4	0.278	4	1	2_2.gif
19.005	1	1	2	3	0.246	3	1	1_2.gif
20.005	1	2	2	2	0.171	2	1	2_2.gif
21.005	1	4	2	1	0.209	1	1	4_2.gif
22.005	1	1	2	2	0.223	2	1	1_2.gif
23.005	1	4	2	4	0.285	4	1	4_2.gif
24.006	1	3	2	1	0.305	1	1	3_2.gif
25.006	1	1	2	4	0.283	4	1	1_2.gif
26.006	1	3	2	3	0.367	3	1	3_2.gif
27.006	1	2	2	1	0.38	1	1	2_2.gif
28.006	1	4	2	3	0.389	3	1	4_2.gif
29.006	1	1	2	2	0.349	2	1	1_2.gif
30.006	1	3	2	4	0.305	4	1	3_2.gif
31.006	1	4	2	1	0.298	1	1	4_2.gif
32.008	1	2	0	3	0.231	2	0	2_0.gif
33.008	1	1	0	1	0.576	1	1	1_0.gif
34.008	1	4	0	4	0.353	4	1	4_0.gif
35.008	1	3	0	3	0.341	3	1	3_0.gif
36.008	1	4	0	4	0.426	4	1	4_0.gif
37.008	1	2	0	2	0.427	2	1	2_0.gif
38.008	1	4	0	4	0.342	4	1	4_0.gif
39.008	1	3	0	3	0.32	3	1	3_0.gif
40.008	1	2	0	2	0.35	2	1	2_0.gif
41.008	1	3	0	3	0.302	3	1	3_0.gif
42.008	1	1	0	1	0.326	1	1	1_0.gif
43.008	1	2	0	2	0.477	2	1	2_0.gif
44.008	1	1	0	1	0.328	1	1	1_0.gif
45.008	1	4	0	4	0.275	4	1	4_0.gif
46.008	1	2	0	2	0.38	2	1	2_0.gif
47.008	1	4	0	4	0.375	4	1	4_0.gif
48.009	1	3	2	3	0.387	2	0	3_2.gif
49.009	1	4	2	6	0	4	n/a	4_2.gif
50.009	1	3	2	3	0.347	3	1	3_2.gif
51.009	1	4	2	4	0.208	4	1	4_2.gif
52.009	1	1	2	3	0.17	3	1	1_2.gif
53.009	1	3	2	4	0.132	4	1	3_2.gif
54.009	1	4	2	1	0.279	1	1	4_2.gif
55.009	1	3	2	3	0.238	3	1	3_2.gif
56.009	1	2	2	4	0.235	4	1	2_2.gif
57.009	1	4	2	3	0.178	3	1	4_2.gif
58.009	1	2	2	2	0.189	2	1	2_2.gif
59.009	1	4	2	4	0.217	4	1	4_2.gif
60.009	1	2	2	2	0.236	2	1	2_2.gif
61.009	1	4	2	4	0.283	4	1	4_2.gif
62.009	1	3	2	2	0.249	2	1	3_2.gif
63.009	1	4	2	3	0.307	4	0	4_2.gif
