onset	duration	nback_display	trial_type	response	response_time	correct_response	correct	stim_file
0	1	4	0	6	0	4	n/a	4_0.gif
1	1	3	0	4	0.067	3	0	3_0.gif
2	1	1	0	3	0.002	1	0	1_0.gif
3	1	4	0	4	0.575	4	1	4_0.gif
4	1	3	0	3	0.43	3	1	3_0.gif
5	1	4	0	3	0.003	4	0	4_0.gif
6	1	1	0	1	0.562	1	1	1_0.gif
7	1	4	0	4	0.528	4	1	4_0.gif
8	1	2	0	2	0.454	2	1	2_0.gif
9	1	3	0	3	0.387	3	1	3_0.gif
10	1	2	0	2	0.428	2	1	2_0.gif
11	1	3	0	3	0.332	3	1	3_0.gif
12	1	4	0	4	0.457	4	1	4_0.gif
13	1	2	0	2	0.425	2	1	2_0.gif
14	1	4	0	4	0.514	4	1	4_0.gif
15	1	3	0	3	0.527	3	1	3_0.gif
16	1	2	2	6	0	4	n/a	2_2.gif
17	1	4	2	6	0	3	n/a	4_2.gif
18	1	3	2	2	0.273	2	1	3_2.gif
19	1	1	2	4	0.255	4	1	1_2.gif
20	1	4	2	3	0.256	3	1	4_2.gif
21	1	2	2	1	0.24	1	1	2_2.gif
22	1	4	2	4	0.263	4	1	4_2.gif
23	1	2	2	2	0.291	2	1	2_2.gif
24	1	1	2	4	0.264	4	1	1_2.gif
25	1	3	2	2	0.251	2	1	3_2.gif
26	1	4	2	1	0.252	1	1	4_2.gif
27	1	2	2	3	0.301	3	1	2_2.gif
28	1	4	2	4	0.339	4	1	4_2.gif
29	1	3	2	2	0.336	2	1	3_2.gif
30	1	4	2	4	0.296	4	1	4_2.gif
31	1	3	2	3	0.253	3	1	3_2.gif
32.001	1	4	0	4	0.348	4	1	4_0.gif
33.001	1	1	0	1	0.606	1	1	1_0.gif
34.001	1	3	0	3	0.427	3	1	3_0.gif
35.001	1	2	0	2	0.415	2	1	2_0.gif
36.001	1	4	0	4	0.466	4	1	4_0.gif
37.001	1	1	0	1	0.78	1	1	1_0.gif
38.001	1	4	0	4	0.485	4	1	4_0.gif
39.001	1	1	0	1	0.486	1	1	1_0.gif
40.001	1	2	0	2	0.4	2	1	2_0.gif
41.001	1	3	0	3	0.333	3	1	3_0.gif
42.001	1	1	0	1	0.431	1	1	1_0.gif
43.001	1	2	0	2	0.386	2	1	2_0.gif
44.001	1	4	0	4	0.363	4	1	4_0.gif
45.001	1	2	0	2	0.409	2	1	2_0.gif
46.001	1	3	0	3	0.36	3	1	3_0.gif
47.001	1	2	0	2	0.391	2	1	2_0.gif
48.001	1	4	2	6	0	3	n/a	4_2.gif
49.003	1	2	2	6	0	2	n/a	2_2.gif
50.003	1	4	2	4	0.233	4	1	4_2.gif
51.003	1	1	2	2	0.25	2	1	1_2.gif
52.003	1	2	2	4	0.27	4	1	2_2.gif
53.003	1	4	2	1	0.31	1	1	4_2.gif
54.003	1	3	2	2	0.326	2	1	3_2.gif
55.003	1	1	2	4	0.416	4	1	1_2.gif
56.003	1	3	2	3	0.374	3	1	3_2.gif
57.003	1	2	2	1	0.293	1	1	2_2.gif
58.003	1	1	2	3	0.292	3	1	1_2.gif
59.003	1	4	2	2	0.315	2	1	4_2.gif
60.003	1	3	2	1	0.339	1	1	3_2.gif
61.003	1	4	2	4	0.364	4	1	4_2.gif
62.003	1	1	2	3	0.328	3	1	1_2.gif
63.003	1	2	2	4	0.29	4	1	2_2.gif
64.003	1	3	0	1	0.355	3	0	3_0.gif
65.003	1	1	0	3	0.047	1	0	1_0.gif
66.003	1	3	0	3	0.441	3	1	3_0.gif
67.003	1	2	0	2	0.367	2	1	2_0.gif
68.003	1	4	0	4	0.467	4	1	4_0.gif
69.003	1	1	0	1	0.433	1	1	1_0.gif
70.003	1	3	0	3	0.428	3	1	3_0.gif
71.003	1	2	0	2	0.385	2	1	2_0.gif
72.003	1	3	0	3	0.387	3	1	3_0.gif
73.003	1	1	0	1	0.435	1	1	1_0.gif
74.003	1	4	0	4	0.557	4	1	4_0.gif
75.003	1	3	0	3	0.492	3	1	3_0.gif
76.003	1	4	0	4	0.572	4	1	4_0.gif
77.003	1	3	0	3	0.424	3	1	3_0.gif
78.003	1	1	0	1	0.361	1	1	1_0.gif
79.003	1	4	0	4	0.444	4	1	4_0.gif
80.003	1	2	2	6	0	1	n/a	2_2.gif
81.003	1	3	2	6	0	4	n/a	3_2.gif
82.003	1	4	2	2	0.208	2	1	4_2.gif
83.003	1	1	2	3	0.185	3	1	1_2.gif
